Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,celltype,contrast,geneset
prerank,Oxidative Phosphorylation,0.7544526564203958,2.854520358834907,0.0,0.0,0.0,25/41,11.12%,ATP6V1E1;ATP5F1A;CYCS;ATP5F1B;ATP5MC3;LDHB;UQCRH;UQCRB;ATP6V1F;SLC25A3;COX4I1;VDAC1;MDH1;NDUFA4;NDUFA5;SLC25A4;ATP1B1;ISCU;ATP6V1D;NDUFS1;ATP6V1G1;MGST3;GPX4;ATP6V0B;COX7A2L,Inhibitory,region_MCX,hallmark
prerank,mTORC1 Signaling,0.6374859409130976,2.5929557625563953,0.0,0.0,0.0,25/42,20.14%,ELOVL5;HMGCS1;ELOVL6;HSPA5;UBE2D3;SKAP2;SCD;HSP90B1;ATP2A2;CANX;HPRT1;RAB1A;DHCR24;TXNRD1;PGK1;ACSL3;TPI1;PPA1;MLLT11;GOT1;PPIA;GAPDH;QDPR;P4HA1;ENO1,Neuron,interaction_FX,hallmark
prerank,Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517,0.7510623574654617,2.543561794488776,0.0,0.0,0.0,14/24,11.12%,ATP5F1A;CYCS;ATP5F1B;ATP5MC3;LDHB;UQCRH;CCNI;UQCRB;COX4I1;VDAC1;BSG;NDUFA5;NDUFS1;COX7A2L,Inhibitory,region_MCX,reactome
prerank,Oxidative Phosphorylation,0.7124696479237189,2.504810659701921,0.0,0.0,0.0,25/40,15.56%,ATP6V0C;NDUFA4;MDH1;ATP5MC3;UQCRB;LDHB;UQCRH;SLC25A4;ATP5F1B;MGST3;LRPPRC;CYCS;ATP6V1D;VDAC1;ATP6V1C1;ATP6V0B;ATP6V1G1;COX4I1;SUCLA2;ATP6V1F;NDUFA5;POLR2F;SLC25A3;ATP5F1A;GPI,Endothelial,region_FX,hallmark
prerank,Myc Targets V1,0.6890461474086701,2.492311209785732,0.0,0.0,0.0,21/26,27.08%,XPO1;PTGES3;EIF4G2;CANX;HPRT1;AP3S1;SLC25A3;VDAC1;HSP90AB1;VDAC3;PGK1;RAN;YWHAQ;PPIA;YWHAE;NAP1L1;HNRNPA2B1;FAM120A;CUL1;HNRNPA3;EIF1AX,Neuron,interaction_FX,hallmark
prerank,Myc Targets V1,0.7314942132824833,2.468023738449054,0.0,0.0,0.0,20/26,20.48%,YWHAE;EIF1AX;CANX;PPIA;SLC25A3;VDAC1;EIF4G2;HPRT1;HSP90AB1;RAN;HNRNPA3;PTGES3;YWHAQ;PGK1;KPNB1;HNRNPU;FAM120A;SRPK1;NAP1L1;VDAC3,Inhibitory,region_MCX,hallmark
prerank,Iron Uptake And Transport R-HSA-917937,0.7402031495750844,2.4389727997479578,0.0,0.0,0.0,16/24,14.65%,ATP6V1E1;UBC;UBB;SKP1;ATP6V1F;FTH1;ATP6V0E2;ATP6V1B2;ATP6V1D;ATP6V1G1;ATP6V0A1;ATP6V0B;SLC22A17;ATP6V1A;CAND1;FTL,Inhibitory,region_MCX,reactome
prerank,Oxidative Phosphorylation,0.7567991598176036,2.4370914146802005,0.0,0.0,0.0,27/41,13.90%,ATP6V0C;COX4I1;ATP5MC3;NDUFA4;MGST3;ATP6V1D;MTX2;UQCRB;LDHB;COX7A2L;UQCRH;MDH1;ATP5F1A;ATP6V1G1;ATP6V0B;GPX4;LRPPRC;ATP6V1E1;NDUFA5;SLC25A4;ATP6V1F;VDAC1;ATP5F1B;PDP1;GPI;ATP6V1H;SLC25A3,Inhibitory,region_FX,hallmark
prerank,Oxidative Phosphorylation,0.6049145636923182,2.4348861935221273,0.0,0.0,0.0,29/41,22.07%,ATP1B1;CYCS;MTX2;ATP5F1A;SLC25A3;LDHB;VDAC1;ATP5MC3;ATP5F1B;VDAC3;UQCRH;NDUFA4;UQCRB;NDUFA5;ISCU;ATP6V0B;MGST3;SLC25A4;ATP6V1G1;ATP6V1F;MDH1;GPX4;NDUFS1;COX7A2L;ATP6V1C1;COX4I1;ATP6V1H;SUCLA2;PDP1,Neuron,interaction_FX,hallmark
prerank,Oxidative Phosphorylation,0.6487041177593152,2.4345414620458126,0.0,0.0,0.0,32/41,25.49%,ATP5F1A;SLC25A12;LDHB;UQCRB;ATP5F1B;CYCS;COX4I1;NDUFA4;SLC25A3;ATP1B1;NDUFS1;SLC25A4;UQCRH;VDAC1;ATP6V1F;PDP1;ATP5MC3;LRPPRC;ATP6V0B;MDH1;ATP6V1E1;PDHX;ATP6V1G1;MGST3;GPX4;SUCLA2;MTX2;ATP6V1D;NDUFA5;VDAC3;NNT;ISCU,Neuron,region_MCX,hallmark
